# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# COVER_SIZE=6
family	ambient	class_serial	class_size	subgroup_order	group_id	structure	center_order	projection_sizes	selected_for_cover
semisimple_A5	A5	1	1	60	60,5	A5	1		true
semisimple_S5	S5	1	1	120	120,34	S5	1		true
lemma_1a_S3cube	S3^3	1	1	216	216,162	S3 x S3 x S3	1		true
lemma_1a_C2C3S3	C2xC3xS3	1	1	36	36,12	C6 x S3	6		true
auxiliary_S4_all	S4	1	1	1	1,1	1	1		true
auxiliary_S4_all	S4	2	3	2	2,1	C2	2		true
auxiliary_S4_all	S4	3	6	2	2,1	C2	2		true
auxiliary_S4_all	S4	4	4	3	3,1	C3	3		true
auxiliary_S4_all	S4	5	1	4	4,2	C2 x C2	4		true
auxiliary_S4_all	S4	6	3	4	4,2	C2 x C2	4		true
auxiliary_S4_all	S4	7	3	4	4,1	C4	4		true
auxiliary_S4_all	S4	8	4	6	6,1	S3	1		true
auxiliary_S4_all	S4	9	3	8	8,3	D8	2		true
auxiliary_S4_all	S4	10	1	12	12,3	A4	1		true
auxiliary_S4_all	S4	11	1	24	24,12	S4	1		true
lemma_1b_S3cube_order72	S3^3	1	3	72	72,46	C2 x S3 x S3	2		true
lemma_1b_S3cube_order72	S3^3	2	3	72	72,46	C2 x S3 x S3	2		true
lemma_1b_S3cube_order72	S3^3	3	3	72	72,46	C2 x S3 x S3	2		true
lemma_1b_S3cube_order108	S3^3	1	1	108	108,39	S3 x ((C3 x C3) : C2)	1		true
lemma_1b_S3cube_order108	S3^3	2	1	108	108,38	C3 x S3 x S3	3		true
lemma_1b_S3cube_order108	S3^3	3	1	108	108,38	C3 x S3 x S3	3		true
lemma_1b_S3cube_order108	S3^3	4	1	108	108,39	((C3 x C3) : C2) x S3	1		true
lemma_1b_S3cube_order108	S3^3	5	1	108	108,40	(C3 x C3 x C3) : (C2 x C2)	1		true
lemma_1b_S3cube_order108	S3^3	6	1	108	108,39	((C3 x C3) : C2) x S3	1		true
lemma_1b_S3cube_order108	S3^3	7	1	108	108,38	C3 x S3 x S3	3		true
lemma_1c_S4square_order48	S4^2	1	1	48	48,49	C2 x C2 x A4	4		true
lemma_1c_S4square_order48	S4^2	2	3	48	48,48	C2 x S4	2		true
lemma_1c_S4square_order48	S4^2	3	3	48	48,49	C2 x C2 x A4	4		true
lemma_1c_S4square_order48	S4^2	4	3	48	48,31	C4 x A4	4		true
lemma_1c_S4square_order48	S4^2	5	3	48	48,48	C2 x S4	2		true
lemma_1c_S4square_order48	S4^2	6	3	48	48,30	A4 : C4	2		true
lemma_1c_S4square_order48	S4^2	7	3	48	48,49	C2 x C2 x A4	4		true
lemma_1c_S4square_order48	S4^2	8	3	48	48,31	C4 x A4	4		true
lemma_1c_S4square_order48	S4^2	9	3	48	48,48	C2 x S4	2		true
lemma_1c_S4square_order48	S4^2	10	3	48	48,48	C2 x S4	2		true
lemma_1c_S4square_order48	S4^2	11	6	48	48,48	C2 x S4	2		true
lemma_1c_S4square_order48	S4^2	12	1	48	48,49	C2 x C2 x A4	4		true
lemma_1c_S4square_order48	S4^2	13	3	48	48,48	C2 x S4	2		true
