group_id	structure	center_size	coset_count	is_ac	adjacency
SmallGroup(128,1)	C128	128	1	true	
SmallGroup(128,5)	(C8 x C2) : C8	32	4	true	;3,4;2,4;2,3
SmallGroup(128,6)	(C4 x C4) : C8	8	16	false	;3,5,7,8,9,10,11,12,13,14,15,16;2,4,6,8,9,10,11,12,13,14,15,16;3,7,9,11,13,14,15,16;2,6,9,10,12,14,15,16;3,5,7,8,9,10,11,12,13,14,15,16;2,4,6,8,9,10,11,12,13,14,15,16;2,3,6,7,10,11,12,13;2,3,4,5,6,7,10,11,12,13,15,16;2,3,5,6,7,8,9,11,13,14,15,16;2,3,4,6,7,8,9,10,12,14,15,16;2,3,5,6,7,8,9,11,13,14,15,16;2,3,4,6,7,8,9,10,12,14,15,16;2,3,4,5,6,7,10,11,12,13,15,16;2,3,4,5,6,7,9,10,11,12,13,14;2,3,4,5,6,7,9,10,11,12,13,14
SmallGroup(128,7)	(C8 x C2) : C8	8	16	false	;3,5,7,8,9,10,11,12,13,14,15,16;2,4,6,8,9,10,11,12,13,14,15,16;3,7,9,11,13,14,15,16;2,6,9,10,12,14,15,16;3,5,7,8,9,10,11,12,13,14,15,16;2,4,6,8,9,10,11,12,13,14,15,16;2,3,6,7,10,11,12,13;2,3,4,5,6,7,10,11,12,13,15,16;2,3,5,6,7,8,9,11,13,14,15,16;2,3,4,6,7,8,9,10,12,14,15,16;2,3,5,6,7,8,9,11,13,14,15,16;2,3,4,6,7,8,9,10,12,14,15,16;2,3,4,5,6,7,10,11,12,13,15,16;2,3,4,5,6,7,9,10,11,12,13,14;2,3,4,5,6,7,9,10,11,12,13,14
SmallGroup(128,8)	(C4 x C4) : C8	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,9)	(C8 x C2) : C8	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,10)	(C8 : C2) : C8	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,11)	(C4 : C4) : C8	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,12)	(C4 x C2 x C2) : C8	8	16	false	;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,6,9,10,11,12,14,16;3,7,9,10,11,13,15,16;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,3,6,7,12,13,14,15;2,3,4,5,6,7,11,12,13,14,15,16;2,3,4,5,6,7,11,12,13,14,15,16;2,3,4,5,6,7,9,10,12,13,14,15;2,3,4,6,7,8,9,10,11,13,15,16;2,3,5,6,7,8,9,10,11,12,14,16;2,3,4,6,7,8,9,10,11,13,15,16;2,3,5,6,7,8,9,10,11,12,14,16;2,3,4,5,6,7,9,10,12,13,14,15
SmallGroup(128,13)	(C8 x C2) : C8	8	16	false	;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,6,9,10,11,12,14,16;3,7,9,10,11,13,15,16;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,3,6,7,12,13,14,15;2,3,4,5,6,7,11,12,13,14,15,16;2,3,4,5,6,7,11,12,13,14,15,16;2,3,4,5,6,7,9,10,12,13,14,15;2,3,4,6,7,8,9,10,11,13,15,16;2,3,5,6,7,8,9,10,11,12,14,16;2,3,4,6,7,8,9,10,11,13,15,16;2,3,5,6,7,8,9,10,11,12,14,16;2,3,4,5,6,7,9,10,12,13,14,15
SmallGroup(128,14)	((C4 x C2) : C2) : C8	8	16	false	;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,6,9,10,11,12,14,16;3,7,9,10,11,13,15,16;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,3,6,7,12,13,14,15;2,3,4,5,6,7,11,12,13,14,15,16;2,3,4,5,6,7,11,12,13,14,15,16;2,3,4,5,6,7,9,10,12,13,14,15;2,3,4,6,7,8,9,10,11,13,15,16;2,3,5,6,7,8,9,10,11,12,14,16;2,3,4,6,7,8,9,10,11,13,15,16;2,3,5,6,7,8,9,10,11,12,14,16;2,3,4,5,6,7,9,10,12,13,14,15
