# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# MAX_Q_ORDER=16
q_order	q_id	structure	cover_order	exterior_order	all_exterior_subgroups	normal_kernel_count	kernel_serial	kernel_order	kernel_index	adjacency
1	1	1	1	1	1	1	1	1	1	
2	1	C2	2	1	1	1	1	1	1	;
3	1	C3	3	1	1	1	1	1	1	;;
4	1	C4	4	1	1	1	1	1	1	;;;
4	2	C2 x C2	8	2	2	2	1	1	2	;3,4;2,4;2,3
4	2	C2 x C2	8	2	2	2	2	2	1	;;;
5	1	C5	5	1	1	1	1	1	1	;;;;
6	1	S3	6	3	2	2	1	1	3	;3,4,5,6;2,4,6;2,3,5,6;2,4,6;2,3,4,5
6	1	S3	6	3	2	2	2	3	1	;;;;;
6	2	C6	6	1	1	1	1	1	1	;;;;;
7	1	C7	7	1	1	1	1	1	1	;;;;;;
8	1	C8	8	1	1	1	1	1	1	;;;;;;;
8	2	C4 x C2	16	2	2	2	1	1	2	;3,5,7,8;2,5,6,8;;2,3,6,7;3,5,7,8;2,5,6,8;2,3,6,7
8	2	C4 x C2	16	2	2	2	2	2	1	;;;;;;;
8	3	D8	16	4	3	3	1	1	4	;3,4,5,6,7,8;2,4,5,6,7,8;2,3,6,7;2,3,6,7;2,3,4,5,7,8;2,3,4,5,6,8;2,3,6,7
8	3	D8	16	4	3	3	2	2	2	;3,5,7,8;2,5,6,8;;2,3,6,7;3,5,7,8;2,5,6,8;2,3,6,7
8	3	D8	16	4	3	3	3	4	1	;;;;;;;
8	4	Q8	8	2	2	2	1	1	2	;3,5,7,8;2,5,6,8;;2,3,6,7;3,5,7,8;2,5,6,8;2,3,6,7
8	4	Q8	8	2	2	2	2	2	1	;;;;;;;
8	5	C2 x C2 x C2	64	8	16	16	1	1	8	;3,4,5,6,7,8;2,4,5,6,7,8;2,3,5,6,7,8;2,3,4,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
