Q=SmallGroup(65,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=8 total_kernels=1
Q=SmallGroup(66,1) exterior=3 all_subgroups=2 normal_kernels=2 runtime_ms=10 total_kernels=3
Q=SmallGroup(66,2) exterior=11 all_subgroups=2 normal_kernels=2 runtime_ms=15 total_kernels=5
Q=SmallGroup(66,3) exterior=33 all_subgroups=4 normal_kernels=4 runtime_ms=35 total_kernels=9
Q=SmallGroup(66,4) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=5 total_kernels=10
Q=SmallGroup(67,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=4 total_kernels=11
Q=SmallGroup(68,1) exterior=17 all_subgroups=2 normal_kernels=2 runtime_ms=352 total_kernels=13
Q=SmallGroup(68,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=7 total_kernels=14
Q=SmallGroup(68,3) exterior=17 all_subgroups=2 normal_kernels=2 runtime_ms=401 total_kernels=16
Q=SmallGroup(68,4) exterior=34 all_subgroups=4 normal_kernels=4 runtime_ms=164 total_kernels=20
Q=SmallGroup(68,5) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=22 total_kernels=22
Q=SmallGroup(69,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=4 total_kernels=23
Q=SmallGroup(70,1) exterior=5 all_subgroups=2 normal_kernels=2 runtime_ms=14 total_kernels=25
Q=SmallGroup(70,2) exterior=7 all_subgroups=2 normal_kernels=2 runtime_ms=15 total_kernels=27
Q=SmallGroup(70,3) exterior=35 all_subgroups=4 normal_kernels=4 runtime_ms=28 total_kernels=31
Q=SmallGroup(70,4) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=5 total_kernels=32
Q=SmallGroup(71,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=3 total_kernels=33
Q=SmallGroup(72,1) exterior=9 all_subgroups=3 normal_kernels=3 runtime_ms=17 total_kernels=36
Q=SmallGroup(72,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=6 total_kernels=37
Q=SmallGroup(72,3) exterior=8 all_subgroups=6 normal_kernels=3 runtime_ms=23 total_kernels=40
Q=SmallGroup(72,4) exterior=18 all_subgroups=6 normal_kernels=6 runtime_ms=58 total_kernels=46
Q=SmallGroup(72,5) exterior=18 all_subgroups=6 normal_kernels=6 runtime_ms=51 total_kernels=52
Q=SmallGroup(72,6) exterior=36 all_subgroups=9 normal_kernels=9 runtime_ms=84 total_kernels=61
Q=SmallGroup(72,7) exterior=18 all_subgroups=6 normal_kernels=6 runtime_ms=44 total_kernels=67
Q=SmallGroup(72,8) exterior=36 all_subgroups=9 normal_kernels=9 runtime_ms=57 total_kernels=76
Q=SmallGroup(72,9) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=14 total_kernels=78
Q=SmallGroup(72,10) exterior=4 all_subgroups=3 normal_kernels=3 runtime_ms=25 total_kernels=81
Q=SmallGroup(72,11) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=21 total_kernels=83
Q=SmallGroup(72,12) exterior=3 all_subgroups=2 normal_kernels=2 runtime_ms=11 total_kernels=85
Q=SmallGroup(72,13) exterior=27 all_subgroups=19 normal_kernels=7 runtime_ms=29 total_kernels=92
Q=SmallGroup(72,14) exterior=3 all_subgroups=2 normal_kernels=2 runtime_ms=24 total_kernels=94
Q=SmallGroup(72,15) exterior=72 all_subgroups=21 normal_kernels=7 runtime_ms=46 total_kernels=101
Q=SmallGroup(72,16) exterior=8 all_subgroups=6 normal_kernels=3 runtime_ms=23 total_kernels=104
Q=SmallGroup(72,17) exterior=72 all_subgroups=48 normal_kernels=48 runtime_ms=255 total_kernels=152
Q=SmallGroup(72,18) exterior=8 all_subgroups=16 normal_kernels=16 runtime_ms=119 total_kernels=168
Q=SmallGroup(72,19) exterior=27 all_subgroups=19 normal_kernels=3 runtime_ms=42 total_kernels=171
Q=SmallGroup(72,20) exterior=18 all_subgroups=12 normal_kernels=8 runtime_ms=61 total_kernels=179
Q=SmallGroup(72,21) exterior=18 all_subgroups=12 normal_kernels=8 runtime_ms=62 total_kernels=187
Q=SmallGroup(72,22) exterior=36 all_subgroups=18 normal_kernels=12 runtime_ms=75 total_kernels=199
Q=SmallGroup(72,23) exterior=36 all_subgroups=18 normal_kernels=12 runtime_ms=76 total_kernels=211
Q=SmallGroup(72,24) exterior=18 all_subgroups=12 normal_kernels=8 runtime_ms=44 total_kernels=219
Q=SmallGroup(72,25) exterior=24 all_subgroups=12 normal_kernels=6 runtime_ms=52 total_kernels=225
Q=SmallGroup(72,26) exterior=6 all_subgroups=4 normal_kernels=4 runtime_ms=36 total_kernels=229
Q=SmallGroup(72,27) exterior=6 all_subgroups=4 normal_kernels=4 runtime_ms=34 total_kernels=233
Q=SmallGroup(72,28) exterior=12 all_subgroups=6 normal_kernels=6 runtime_ms=37 total_kernels=239
Q=SmallGroup(72,29) exterior=6 all_subgroups=4 normal_kernels=4 runtime_ms=35 total_kernels=243
Q=SmallGroup(72,30) exterior=12 all_subgroups=6 normal_kernels=6 runtime_ms=47 total_kernels=249
Q=SmallGroup(72,31) exterior=54 all_subgroups=38 normal_kernels=14 runtime_ms=73 total_kernels=263
Q=SmallGroup(72,32) exterior=54 all_subgroups=38 normal_kernels=14 runtime_ms=106 total_kernels=277
Q=SmallGroup(72,33) exterior=108 all_subgroups=57 normal_kernels=21 runtime_ms=105 total_kernels=298
Q=SmallGroup(72,34) exterior=54 all_subgroups=38 normal_kernels=14 runtime_ms=89 total_kernels=312
Q=SmallGroup(72,35) exterior=108 all_subgroups=57 normal_kernels=21 runtime_ms=114 total_kernels=333
Q=SmallGroup(72,36) exterior=6 all_subgroups=4 normal_kernels=4 runtime_ms=57 total_kernels=337
Q=SmallGroup(72,37) exterior=12 all_subgroups=6 normal_kernels=6 runtime_ms=65 total_kernels=343
Q=SmallGroup(72,38) exterior=6 all_subgroups=4 normal_kernels=4 runtime_ms=27 total_kernels=347
Q=SmallGroup(72,39) exterior=9 all_subgroups=6 normal_kernels=2 runtime_ms=13 total_kernels=349
Q=SmallGroup(72,40) exterior=36 all_subgroups=34 normal_kernels=5 runtime_ms=66 total_kernels=354
Q=SmallGroup(72,41) exterior=54 all_subgroups=62 normal_kernels=4 runtime_ms=70 total_kernels=358
Q=SmallGroup(72,42) exterior=24 all_subgroups=15 normal_kernels=4 runtime_ms=44 total_kernels=362
Q=SmallGroup(72,43) exterior=216 all_subgroups=153 normal_kernels=13 runtime_ms=134 total_kernels=375
Q=SmallGroup(72,44) exterior=24 all_subgroups=12 normal_kernels=6 runtime_ms=63 total_kernels=381
Q=SmallGroup(72,45) exterior=54 all_subgroups=38 normal_kernels=6 runtime_ms=108 total_kernels=387
Q=SmallGroup(72,46) exterior=72 all_subgroups=96 normal_kernels=64 runtime_ms=377 total_kernels=451
