# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# Q_ORDER=64
# Q_ID=242
# STRUCTURE=(((C4 x C2) : C2) : (C2 x C2)) : 1
# Q_PC_RELATIVE_ORDERS=2,2,2,2,2,2
# COVER_ORDER=4096
# PC_CONVERSION_KERNEL_ORDER=1
# COVER_TO_Q_KERNEL_ORDER=64
# COVER_KERNEL_CENTRAL=true
# COVER_KERNEL_IN_DERIVED=true
# EXTERIOR_ORDER=256
# EXTERIOR_RELATIVE_ORDERS=2,2,2,2,4,4
# ACTION_COUNT=12
# AUTOMORPHISM_GENERATOR_COUNT=12
# COMMUTATOR_ROW_COUNT=64
ACTIONS
action_index	image_vectors	q_conjugation
1	1,0,0,0,0,0;0,1,0,0,0,2;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,1,2;0,0,0,0,0,3	0,1,14,18,41,5,6,24,28,51,10,11,54,36,2,37,38,40,3,20,19,21,59,46,7,47,48,50,8,30,29,31,32,34,33,55,13,15,16,56,17,4,42,44,43,60,23,25,26,61,27,9,52,53,12,35,39,57,58,22,45,49,62,63
2	1,0,0,0,0,0;0,1,0,0,2,0;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,3,0;0,0,0,0,2,1	0,10,2,40,19,5,6,24,28,9,1,31,54,35,14,15,39,18,17,4,41,21,44,23,7,47,61,50,8,29,30,11,53,34,33,13,55,37,56,16,3,20,63,59,22,45,46,25,49,48,27,51,62,32,12,36,38,58,57,43,60,26,52,42
3	1,0,0,0,0,0;0,1,0,0,0,2;0,0,1,0,2,2;0,0,0,1,2,2;0,0,0,0,1,2;0,0,0,0,0,3	0,11,37,3,4,5,6,24,28,30,31,1,54,55,15,14,16,17,18,19,20,21,43,45,7,47,49,50,8,51,9,10,62,34,33,36,35,2,38,39,40,41,57,22,59,23,60,25,61,26,27,29,53,52,12,13,56,42,63,44,46,48,32,58
4	1,0,0,0,0,0;0,1,0,0,2,2;0,0,1,0,2,0;0,0,0,1,2,0;0,0,0,0,3,2;0,0,0,0,2,3	0,31,14,3,4,5,6,25,50,51,11,10,33,35,2,37,16,17,18,19,20,21,44,46,47,7,61,28,27,30,29,1,52,12,54,13,55,15,38,39,40,41,58,59,22,60,23,24,49,48,8,9,32,62,34,36,56,63,42,43,45,26,53,57
5	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,1,0;0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
6	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,1,0;0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
7	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,1,0;0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
8	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,1,0;0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
9	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,1,0;0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,1,0;0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
11	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,1,0;0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
12	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,1,0;0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
COMMUTATORS
vertex	q_exponents	commutator_vectors
0	0,0,0,0,0,0	0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0
1	1,0,0,0,0,0	0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,1,2,0;0,0,0,1,1,2;0,1,0,0,1,1;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,1,2,0;0,0,0,1,1,2;0,1,0,0,1,1;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,1,0;0,1,0,1,1,1;0,0,0,1,2,0;0,0,0,1,2,2;0,1,0,1,2,1;0,0,0,1,1,2;0,0,0,1,1,0;0,1,0,0,1,1;0,1,0,0,1,3;0,0,0,0,0,2;0,0,0,0,1,0;0,1,0,1,1,1;0,0,0,1,2,0;0,0,0,1,2,2;0,1,0,1,2,1;0,0,0,1,1,2;0,0,0,1,1,0;0,1,0,0,1,1;0,1,0,0,1,3;0,0,0,0,0,2;0,1,0,0,0,3;0,0,0,0,1,0;0,0,0,0,1,2;0,1,0,1,1,1;0,1,0,1,1,3;0,0,0,1,2,2;0,1,0,1,2,1;0,1,0,1,2,3;0,0,0,1,1,0;0,1,0,0,1,3;0,1,0,0,0,3;0,0,0,0,1,0;0,0,0,0,1,2;0,1,0,1,1,1;0,1,0,1,1,3;0,0,0,1,2,2;0,1,0,1,2,1;0,1,0,1,2,3;0,0,0,1,1,0;0,1,0,0,1,3;0,1,0,0,0,3;0,1,0,0,0,1;0,0,0,0,1,2;0,1,0,1,1,3;0,1,0,1,2,3;0,1,0,0,0,3;0,1,0,0,0,1;0,0,0,0,1,2;0,1,0,1,1,3;0,1,0,1,2,3;0,1,0,0,0,1;0,1,0,0,0,1
2	0,1,0,0,0,0	0,0,0,0,0,0;0,0,0,1,2,0;0,0,0,0,0,0;1,0,0,0,0,1;0,1,1,0,1,2;0,0,0,0,0,0;0,0,0,0,2,0;0,0,0,1,2,0;1,0,0,1,0,3;0,1,1,1,1,2;0,0,0,1,2,0;0,0,0,1,0,0;1,0,0,0,0,1;0,1,1,0,1,2;0,0,0,0,0,0;0,0,0,0,2,0;1,1,1,0,3,1;1,0,0,0,0,1;1,0,0,0,2,1;0,1,1,0,1,2;0,1,1,0,3,2;0,0,0,0,2,0;1,0,0,1,0,3;0,1,1,1,1,2;0,0,0,1,2,0;0,0,0,1,0,0;1,1,1,1,1,3;1,0,0,1,0,3;1,0,0,1,2,3;0,1,1,1,1,2;0,1,1,1,3,2;0,0,0,1,0,0;1,1,1,0,3,1;1,0,0,0,0,1;1,0,0,0,2,1;0,1,1,0,1,2;0,1,1,0,3,2;0,0,0,0,2,0;1,1,1,0,3,1;1,1,1,0,1,1;1,0,0,0,2,1;0,1,1,0,3,2;1,1,1,1,1,3;1,0,0,1,0,3;1,0,0,1,2,3;0,1,1,1,1,2;0,1,1,1,3,2;0,0,0,1,0,0;1,1,1,1,1,3;1,1,1,1,3,3;1,0,0,1,2,3;0,1,1,1,3,2;1,1,1,0,3,1;1,1,1,0,1,1;1,0,0,0,2,1;0,1,1,0,3,2;1,1,1,0,1,1;1,1,1,1,1,3;1,1,1,1,3,3;1,0,0,1,2,3;0,1,1,1,3,2;1,1,1,1,3,3;1,1,1,0,1,1;1,1,1,1,3,3
