# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# MAX_Q_ORDER=81
# IDENTITY=|Q_wedge_Q|=|M(Q)|*|Q'|
# NO_SCHUR_COVER_CONSTRUCTED=true
q_order	q_id	structure	q_abelian	q_elementary_abelian	q_exponent	q_derived_order	q_center_order	multiplier_order	multiplier_invariants	multiplier_generator_count	exterior_order	about_exterior_structure	runtime_ms
1	1	1	true	true	1	1	1	1		0	1	multiplier_is_exact_exterior_structure	1
2	1	C2	true	true	2	1	2	1		0	1	multiplier_is_exact_exterior_structure	1
3	1	C3	true	true	3	1	3	1		0	1	multiplier_is_exact_exterior_structure	1
4	1	C4	true	false	4	1	4	1		0	1	multiplier_is_exact_exterior_structure	0
4	2	C2 x C2	true	true	2	1	4	2	2	1	2	multiplier_is_exact_exterior_structure	0
5	1	C5	true	true	5	1	5	1		0	1	multiplier_is_exact_exterior_structure	1
6	1	S3	false	false	6	3	1	1		0	3	extension_of_Qprime_by_multiplier	1
6	2	C6	true	false	6	1	6	1		0	1	multiplier_is_exact_exterior_structure	2
7	1	C7	true	true	7	1	7	1		0	1	multiplier_is_exact_exterior_structure	2
8	1	C8	true	false	8	1	8	1		0	1	multiplier_is_exact_exterior_structure	3
8	2	C4 x C2	true	false	4	1	8	2	2	1	2	multiplier_is_exact_exterior_structure	3
8	3	D8	false	false	4	2	2	2	2	1	4	extension_of_Qprime_by_multiplier	2
8	4	Q8	false	false	4	2	2	1		0	2	extension_of_Qprime_by_multiplier	1
8	5	C2 x C2 x C2	true	true	2	1	8	8	2,2,2	3	8	multiplier_is_exact_exterior_structure	1
9	1	C9	true	false	9	1	9	1		0	1	multiplier_is_exact_exterior_structure	1
9	2	C3 x C3	true	true	3	1	9	3	3	1	3	multiplier_is_exact_exterior_structure	1
10	1	D10	false	false	10	5	1	1		0	5	extension_of_Qprime_by_multiplier	0
10	2	C10	true	false	10	1	10	1		0	1	multiplier_is_exact_exterior_structure	1
11	1	C11	true	true	11	1	11	1		0	1	multiplier_is_exact_exterior_structure	1
12	1	C3 : C4	false	false	12	3	2	1		0	3	extension_of_Qprime_by_multiplier	2
12	2	C12	true	false	12	1	12	1		0	1	multiplier_is_exact_exterior_structure	1
12	3	A4	false	false	6	4	1	2	2	1	8	extension_of_Qprime_by_multiplier	2
12	4	D12	false	false	6	3	2	2	2	1	6	extension_of_Qprime_by_multiplier	2
12	5	C6 x C2	true	false	6	1	12	2	2	1	2	multiplier_is_exact_exterior_structure	3
13	1	C13	true	true	13	1	13	1		0	1	multiplier_is_exact_exterior_structure	2
14	1	D14	false	false	14	7	1	1		0	7	extension_of_Qprime_by_multiplier	1
14	2	C14	true	false	14	1	14	1		0	1	multiplier_is_exact_exterior_structure	2
15	1	C15	true	false	15	1	15	1		0	1	multiplier_is_exact_exterior_structure	3
16	1	C16	true	false	16	1	16	1		0	1	multiplier_is_exact_exterior_structure	4
16	2	C4 x C4	true	false	4	1	16	4	4	1	4	multiplier_is_exact_exterior_structure	3
16	3	(C4 x C2) : C2	false	false	4	2	4	4	2,2	2	8	extension_of_Qprime_by_multiplier	4
16	4	C4 : C4	false	false	4	2	4	2	2	1	4	extension_of_Qprime_by_multiplier	2
16	5	C8 x C2	true	false	8	1	16	2	2	1	2	multiplier_is_exact_exterior_structure	2
16	6	C8 : C2	false	false	8	2	4	1		0	2	extension_of_Qprime_by_multiplier	2
16	7	D16	false	false	8	4	2	2	2	1	8	extension_of_Qprime_by_multiplier	3
16	8	QD16	false	false	8	4	2	1		0	4	extension_of_Qprime_by_multiplier	2
16	9	Q16	false	false	8	4	2	1		0	4	extension_of_Qprime_by_multiplier	2
16	10	C4 x C2 x C2	true	false	4	1	16	8	2,2,2	3	8	multiplier_is_exact_exterior_structure	3
16	11	C2 x D8	false	false	4	2	4	8	2,2,2	3	16	extension_of_Qprime_by_multiplier	2
16	12	C2 x Q8	false	false	4	2	4	4	2,2	2	8	extension_of_Qprime_by_multiplier	3
16	13	(C4 x C2) : C2	false	false	4	2	4	4	2,2	2	8	extension_of_Qprime_by_multiplier	1
16	14	C2 x C2 x C2 x C2	true	true	2	1	16	64	2,2,2,2,2,2	6	64	multiplier_is_exact_exterior_structure	2
17	1	C17	true	true	17	1	17	1		0	1	multiplier_is_exact_exterior_structure	1
18	1	D18	false	false	18	9	1	1		0	9	extension_of_Qprime_by_multiplier	2
18	2	C18	true	false	18	1	18	1		0	1	multiplier_is_exact_exterior_structure	3
18	3	C3 x S3	false	false	6	3	3	1		0	3	extension_of_Qprime_by_multiplier	2
18	4	(C3 x C3) : C2	false	false	6	9	1	3	3	1	27	extension_of_Qprime_by_multiplier	2
18	5	C6 x C3	true	false	6	1	18	3	3	1	3	multiplier_is_exact_exterior_structure	2
19	1	C19	true	true	19	1	19	1		0	1	multiplier_is_exact_exterior_structure	2
20	1	C5 : C4	false	false	20	5	2	1		0	5	extension_of_Qprime_by_multiplier	2
20	2	C20	true	false	20	1	20	1		0	1	multiplier_is_exact_exterior_structure	3
