# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# ORDERS=125,625,3125,15625
# EXPECTED_TOTALS=5,15,77,684
# CLIQUE_CUTOFF=8
# TARGET_CLIQUE=9
# SCOPE=finite_SmallGroups_orders_5^3_through_5^6_only
group_order	group_id	structure	center_order	coset_count	pc_relative_orders	status	witness_vertices	witness_exponents	witness_forward_products	witness_reverse_products	adjacency_masks
125	1	C125	125	1	5,5,5	candidate					0
125	2	C25 x C5	125	1	5,5,5	candidate					0
125	3	(C5 x C5) : C5	5	25	5,5,5	candidate					0,33554132,33553770,33554132,33553770,33554132,16580542,33553770,33554132,33553770,30899198,29079550,24104958,24104958,29079550,30899198,16580542,16580542,29079550,30899198,24104958,30899198,29079550,24104958,16580542
125	4	C25 : C5	5	25	5,5,5	candidate					0,33554132,33553770,33554132,33553770,33554132,16580542,33553770,33554132,33553770,30899198,29079550,24104958,24104958,29079550,30899198,16580542,16580542,29079550,30899198,24104958,30899198,29079550,24104958,16580542
125	5	C5 x C5 x C5	125	1	5,5,5	candidate					0
625	1	C625	625	1	5,5,5,5	candidate					0
625	2	C25 x C25	625	1	5,5,5,5	candidate					0
625	3	(C5 x C5) : C25	25	25	5,5,5,5	candidate					0,33554132,33553770,33554132,33553770,33554132,16580542,33553770,33554132,33553770,30899198,29079550,24104958,24104958,29079550,30899198,16580542,16580542,29079550,30899198,24104958,30899198,29079550,24104958,16580542
625	4	C25 : C25	25	25	5,5,5,5	candidate					0,33554132,33553770,33554132,33553770,33554132,16580542,33553770,33554132,33553770,30899198,29079550,24104958,24104958,29079550,30899198,16580542,16580542,29079550,30899198,24104958,30899198,29079550,24104958,16580542
625	5	C125 x C5	625	1	5,5,5,5	candidate					0
625	6	C125 : C5	25	25	5,5,5,5	candidate					0,33554132,33553770,33554132,33553770,33554132,16580542,33553770,33554132,33553770,30899198,29079550,24104958,24104958,29079550,30899198,16580542,16580542,29079550,30899198,24104958,30899198,29079550,24104958,16580542
