# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# ORDERS=3,9,27,81,243,729
# EXPECTED_TOTALS=1,2,5,15,67,504
# TOTAL_GROUPS=594
# NEXT_ORDER=2187
# NEXT_ORDER_TOTAL=9310
# NEXT_ORDER_SCANNED=false
# CLIQUE_CUTOFF=8
# TARGET_CLIQUE=9
# SCOPE=finite_SmallGroups_orders_3_through_729_only_order_2187_not_scanned
group_order	group_id	structure	center_order	coset_count	pc_relative_orders	status	witness_vertices	witness_exponents	witness_forward_products	witness_reverse_products	is_ac	centralizer_indices	adjacency_masks
3	1	C3	3	1	3	candidate					true	1	0
9	1	C9	9	1	3,3	candidate					true	1	0
9	2	C3 x C3	9	1	3,3	candidate					true	1	0
27	1	C27	27	1	3,3,3	candidate					true	1	0
27	2	C9 x C3	27	1	3,3,3	candidate					true	1	0
27	3	(C3 x C3) : C3	3	9	3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
27	4	C9 : C3	3	9	3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
27	5	C3 x C3 x C3	27	1	3,3,3	candidate					true	1	0
81	1	C81	81	1	3,3,3,3	candidate					true	1	0
81	2	C9 x C9	81	1	3,3,3,3	candidate					true	1	0
81	3	(C9 x C3) : C3	9	9	3,3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
81	4	C9 : C9	9	9	3,3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
81	5	C27 x C3	81	1	3,3,3,3	candidate					true	1	0
81	6	C27 : C3	9	9	3,3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
81	7	(C3 x C3 x C3) : C3	3	27	3,3,3,3	candidate					true	1,9,3,3,9,3,3,3,9,9,9,3,3,9,9,9,3,9,9,9,9,9,9,9,9,9,9	0,134217708,134145810,134145810,134217708,134145810,134145810,134145810,133693182,134209022,134085630,134145810,134145810,134209022,130007038,67076094,134145810,134085630,131858430,133693182,99614718,131858430,130007038,109051902,109051902,99614718,67076094
81	8	(C9 x C3) : C3	3	27	3,3,3,3	candidate					true	1,9,3,3,9,3,3,3,9,9,9,3,3,9,9,9,3,9,9,9,9,9,9,9,9,9,9	0,134217708,134145810,134145810,134217708,134145810,134145810,134145810,133693182,134209022,134085630,134145810,134145810,134209022,130007038,67076094,134145810,134085630,131858430,133693182,99614718,131858430,130007038,109051902,109051902,99614718,67076094
81	9	(C9 x C3) : C3	3	27	3,3,3,3	candidate					true	1,9,3,3,9,3,3,3,9,9,9,3,3,9,9,9,3,9,9,9,9,9,9,9,9,9,9	0,134217708,134145810,134145810,134217708,134145810,134145810,134145810,133693182,134209022,134085630,134145810,134145810,134209022,130007038,67076094,134145810,134085630,131858430,133693182,99614718,131858430,130007038,109051902,109051902,99614718,67076094
81	10	C3 . ((C3 x C3) : C3) = (C3 x C3) . (C3 x C3)	3	27	3,3,3,3	candidate					true	1,9,3,3,9,3,3,3,9,9,9,3,3,9,9,9,3,9,9,9,9,9,9,9,9,9,9	0,134217708,134145810,134145810,134217708,134145810,134145810,134145810,133693182,134209022,134085630,134145810,134145810,134209022,130007038,67076094,134145810,134085630,131858430,133693182,99614718,131858430,130007038,109051902,109051902,99614718,67076094
81	11	C9 x C3 x C3	81	1	3,3,3,3	candidate					true	1	0
81	12	C3 x ((C3 x C3) : C3)	9	9	3,3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
81	13	C3 x (C9 : C3)	9	9	3,3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
81	14	(C9 x C3) : C3	9	9	3,3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
81	15	C3 x C3 x C3 x C3	81	1	3,3,3,3	candidate					true	1	0
243	1	C243	243	1	3,3,3,3,3	candidate					true	1	0
243	2	(C9 x C3) : C9	27	9	3,3,3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
243	3	((C9 x C3) : C3) : C3	9	27	3,3,3,3,3	candidate					true	1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9	0,134217708,134217690,134217654,134217708,134217690,134217654,134216574,134209278,134151678,134216574,133167102,133689342,134209278,134168574,134168574,134151678,133824510,133824510,133689342,133167102,123731966,62914558,123731966,83886078,83886078,62914558
243	4	((C9 x C3) : C3) : C3	9	27	3,3,3,3,3	candidate					true	1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9	0,134217708,134217690,134217654,134217708,134217690,134217654,134216574,134209278,134151678,134216574,133167102,133689342,134209278,134168574,134168574,134151678,133824510,133824510,133689342,133167102,123731966,62914558,123731966,83886078,83886078,62914558
243	5	(C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)	9	27	3,3,3,3,3	candidate					true	1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9	0,134217708,134217690,134217654,134217708,134217690,134217654,134216574,134209278,134151678,134216574,133167102,133689342,134209278,134168574,134168574,134151678,133824510,133824510,133689342,133167102,123731966,62914558,123731966,83886078,83886078,62914558
243	6	((C9 x C3) : C3) : C3	9	27	3,3,3,3,3	candidate					true	1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9	0,134217708,134217690,134217654,134217708,134217690,134217654,134216574,134209278,134151678,134216574,133167102,133689342,134209278,134168574,134168574,134151678,133824510,133824510,133689342,133167102,123731966,62914558,123731966,83886078,83886078,62914558
243	7	(C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)	9	27	3,3,3,3,3	candidate					true	1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9	0,134217708,134217690,134217654,134217708,134217690,134217654,134216574,134209278,134151678,134216574,133167102,133689342,134209278,134168574,134168574,134151678,133824510,133824510,133689342,133167102,123731966,62914558,123731966,83886078,83886078,62914558
