group_id,order,center_order,central_index,nu,a,derived_length,nilpotency_class,solvable,fitting_order,commuting_probability,method,status,witness_path
C1,1,1,1,1,1,,,,,1,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
C5,5,5,1,1,1,,,,,1,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
S3,6,1,6,4,4,,,,,1/2,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
D8,8,2,4,3,3,,,,,5/8,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
Q8,8,2,4,3,3,,,,,5/8,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
S4,24,1,24,10,10,,,,,5/24,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
D6,6,1,6,4,4,,,,,1/2,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
D10,10,1,10,6,6,,,,,2/5,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
D12,12,2,6,4,4,,,,,1/2,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
D14,14,1,14,8,8,,,,,5/14,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
D16,16,2,8,5,5,,,,,7/16,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
D18,18,1,18,10,10,,,,,1/3,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
D20,20,2,10,6,6,,,,,2/5,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
Heis2,8,2,4,3,3,,,,,5/8,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
Heis3,27,3,9,4,4,,,,,11/27,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
Heis5,125,5,25,6,6,,,,,29/125,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
E1,8,2,4,3,3,,,,,5/8,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
E2,32,2,16,5,5,,,,,17/32,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
E3,128,2,64,7,9,,,,,65/128,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
D8xS3,48,2,24,12,12,,,,,5/16,exact central-coset graph; color-bounded clique branch-and-bound; exact DSATUR; certificate verification; optional maximal-abelian set cover,[COMPUTED],experiments/logs/exact_small_groups.json
E_p3_m2,243,3,81,7,10,,,,,83/243,exact scalar-symplectic graph; independent projective 8-clique exclusion; isotropic-spread cover,[COMPUTED],experiments/logs/scalar_symplectic_p3_m2.json
